CONFIDENCE LEVEL DEFINITIONS,,,,,,,,,,
,Critical,"Cannot operate/launch without it. Required for legal compliance, core infrastructure, or safety-critical features. Budget immediately (0-3 months).",,,,,,,,
,High,"Needed for quality, compliance, or scale. Professional services at user milestones. Plan within 6-12 months or triggered by growth.",,,,,,,,
,Medium,"Beneficial but timing is flexible. Marketing tools (wait for revenue), enhanced features, professional services (can DIY initially). Plan 12-24 months or revenue-triggered.",,,,,,,,
,Low,"Speculative or far-future. Enterprise features, international expansion, significant team scaling. Consider only at 24+ months or major pivot.",,,,,,,,
,,,,,,,,,,,
Cost Category,Cost Description,Vendor,Cost Type,Frequency,User Tier,Monthly Cost,Annual Cost,Calculated Annual Cost,Confidence,Trigger,Notes
Operations & Admin,Apple Developer Program,Apple,Fixed,Ongoing,All, $-   ,$99 ,$99 ,Critical,Launch,"Annual $99 fee. Required for App Store distribution, Sign in with Apple, TestFlight."
Operations & Admin,Google Play Console,Google,Fixed,One-time,All, $-   ,$25 ,$25 ,Critical,Launch,One-time $25 fee. Required for Play Store distribution.
Operations & Admin,Microsoft 365,Microsoft,Fixed,Ongoing,All, $-   , $-   , $-   ,Critical,Launch,Business email and productivity. Enter your actual cost.
Operations & Admin,Notion,Notion,Fixed,Ongoing,All, $-   , $-   , $-   ,Critical,Launch,Project management. Free or Plus tier. Enter your actual cost.
Operations & Admin,Proton Pass,Proton,Fixed,Ongoing,All, $-   , $-   , $-   ,Critical,Launch,Password manager. Free or paid tier. Enter your actual cost.
Operations & Admin,Proton VPN,Proton,Fixed,Ongoing,All, $-   , $-   , $-   ,Critical,Launch,VPN service. Free or paid tier. Enter your actual cost.
Operations & Admin,Figma,Figma,Fixed,Ongoing,All, $-   , $-   , $-   ,Critical,Launch,Design tool. Free for personal use. Enter your actual cost.
Operations & Admin,Bookkeeping Software,TBD,Fixed,Ongoing,All, $-   , $-   , $-   ,Critical,Launch,"QuickBooks, Xero, or Wave. Enter your choice and cost."
Operations & Admin,Corporate Filings & Compliance,State + Agent,Fixed,Ongoing,All, $-   ,$175 ,$175 ,Critical,Launch,"LLC annual reports, business licenses, registered agent fees."
Operations & Admin,Accounting & Bookkeeping,CPA (TBD),Variable,Ongoing,All, $-   ,$1000-2500 ,$1500 ,Critical,Launch,"Tax preparation, financial reporting, bookkeeping services."
Operations & Admin,Payment Processing (Apple IAP),Apple,Variable,Ongoing,All,15-30% of revenue, $-   ,% of revenue,Critical,Revenue,"15% (Y2+ subscribers), 30% (monthly). Taken from revenue."
Operations & Admin,Payment Processing (Google Play),Google,Variable,Ongoing,All,15-30% of revenue, $-   ,% of revenue,Critical,Revenue,"15% (first $1M), 30% (after). Taken from revenue."
Technology Infrastructure,AI Coding Assistant (Claude Max),Anthropic,Fixed,Ongoing,All,$100 , $-   ,$1200 ,Critical,Launch,PRIMARY development tool. Claude Max subscription.
Technology Infrastructure,Expo EAS Build (Production),Expo,Fixed,Ongoing,All,$99 , $-   ,$1188 ,Critical,Launch,"Production deployment, unlimited builds, EAS Update, Device Cloud."
Technology Infrastructure,Supabase Database & Storage,Supabase,Fixed,Ongoing,All,$0-25 , $-   ,$0 ,Critical,10K users,"Free tier supports 10K users. Pro ($25/mo) at 10K-100K users."
Technology Infrastructure,GitHub Actions (CI/CD),GitHub,Fixed,Ongoing,All,$0-12 , $-   ,$0 ,Critical,5K users,"Free tier 2,000 min/mo. Paid ($12/mo) when exceeding."
Technology Infrastructure,Email Services,Resend,Fixed,Ongoing,All,$0-20 , $-   ,$0 ,Critical,1K users,"Free 3,000 emails/mo. Pro $20/mo at scale. Auth + transactional + onboarding."
Technology Infrastructure,Domain Name,Cloudflare,Fixed,Ongoing,All, $-   ,$10-15 ,$12 ,Critical,Launch,Domain registration via Cloudflare. Annual renewal.
Technology Infrastructure,Error Monitoring,Sentry,Fixed,Ongoing,All,$0-29 , $-   ,$0 ,High,1K users,"Free 5K events/mo. Team ($29/mo) at 1K-10K users."
Compliance & Security,Pre-Launch Legal Package,Attorney (TBD),Fixed,One-time,All, $-   ,$0-500 ,$300 ,Critical,Launch (optional),"AI drafts docs, optional 1-hr lawyer review ($300-500)."
Compliance & Security,Security Audits (Pre-Launch),DIY + Optional,Fixed,One-time,All, $-   ,$0-500 ,$0 ,Critical,Launch (optional),"Free tools (Snyk, Dependabot) + AI review. Optional spot-check."
Compliance & Security,Security Audits (Annual),Security Firm (TBD),Variable,Ongoing,All, $-   ,$1500-3000 ,$2500 ,High,Year 1+,AI pre-scan + human expert review. Every 18-24 months.
Compliance & Security,Legal Counsel (Ongoing),Attorney (TBD),Variable,Ongoing,All, $-   ,$2000-2500 ,$2250 ,High,Year 1+,"Quarterly reviews, regulatory monitoring. ~5-8 hrs/year."
Compliance & Security,Data Breach Response (Initial),Security Consultant,Fixed,One-time,All, $-   ,$300-700 ,$500 ,High,Pre-scale,"AI drafts IR plan, expert review 1-2 hrs."
Compliance & Security,Data Breach Response (Ongoing),Security Consultant,Variable,Ongoing,All, $-   ,$200-500 ,$350 ,Medium,Year 2+,Annual IR plan testing and updates.
Compliance & Security,Compliance Monitoring Tools,OSS + Optional,Fixed,One-time,All, $-   ,$0-1000 ,$500 ,High,Pre-scale,"k-anonymity, differential privacy. OSS libraries."
Compliance & Security,SOC 2 Certification,Auditor (TBD),Fixed,Ongoing,All, $-   ,$15000-50000 ,$32500 ,Low,B2B pivot,NOT needed for consumer app. Only for B2B/enterprise.
Operations & Admin,Business Insurance (Bundled),Insurance Broker (TBD),Fixed,Ongoing,All, $-   ,$3500-4000 ,$3750 ,High,Year 1,"Cyber + General Liability + D&O. Bundled saves 10-15%."
Operations & Admin,Employment Practices Liability,Insurance Broker (TBD),Fixed,Ongoing,All, $-   ,$500 ,$500 ,Low,Hiring,Only when hiring employees.
Operations & Admin,Contingency Buffer,N/A,Variable,Ongoing,All,10% of total,N/A,10% of subtotal,High,Ongoing,Buffer for unexpected costs.
Operations & Admin,Payment Processing (Stripe),Stripe,Variable,Ongoing,All,2.9% + $0.30, $-   ,% of revenue,Medium,Web launch,For web subscriptions. Cloudflare handles hosting (free).
Operations & Admin,Miscellaneous Expenses,Various,Variable,Ongoing,All,$100-200 , $-   ,$1800 ,Medium,Ongoing,"Supplies, licenses, unexpected costs."
Design & UX,App Store Assets (Initial),DIY or Freelancer,Fixed,One-time,All, $-   ,$0-500 ,$0 ,Critical,Launch (optional),"AI tools (Midjourney, Canva) or freelancer."
Design & UX,App Store Assets (Updates),DIY or Freelancer,Variable,Ongoing,All, $-   ,$200-400 ,$300 ,High,Ongoing,Updates per major release (2-4/year).
Design & UX,Brand Identity (Initial),DIY or Freelancer,Fixed,One-time,All, $-   ,$0-1000 ,$300 ,High,Launch (optional),"AI tools or freelancer for logo, colors, guidelines."
Design & UX,App Preview Video,DIY or Freelancer,Fixed,One-time,All, $-   ,$0-1000 ,$200 ,Medium,Post-launch,"AI tools (CapCut, Runway) or professional."
Design & UX,Icon & Asset Libraries,Noun Project,Fixed,Ongoing,All,$10 , $-   ,$120 ,Low,Optional,Optional polish. Free alternatives sufficient.
Customer Support,Support Tools,Zendesk,Fixed,Ongoing,5K+ users,$0-49 , $-   ,$0 ,Medium,5K users,AI chatbot first ($0-30). Zendesk ($49) if needed.
Testing & QA,User Research Tools,Maze,Fixed,Ongoing,5K+ users,$0-99 , $-   ,$0 ,Medium,5K users,Free surveys + AI first. Maze/UserTesting at scale.
Philosophical/Clinical,Premeditatio Safety Validation,LMFT (TBD),Fixed,One-time,All, $-   ,$400 ,$400 ,Medium,Pre-launch,Clinical safety review for negative visualization.
Philosophical/Clinical,Philosophical Advisor,Consultant (TBD),Fixed,Ongoing,All, $-   ,$500 ,$500 ,Low,Optional,Periodic consultation for classical sources.
Professional Development,Stoic Philosophy Resources,Various,Fixed,Ongoing,All, $-   ,$100 ,$100 ,Medium,Ongoing,"Books, journals, courses."
Professional Development,Conferences,Various,Fixed,Ongoing,All, $-   ,$2000 ,$2000 ,Low,Optional,"Stoic Week, mental health conferences."
Business Development,Industry Memberships,Various,Fixed,Ongoing,All, $-   ,$200 ,$200 ,Low,Post-revenue,"Mental Health America, philosophy associations."
Marketing & Growth,Events & Webinars,Various,Fixed,Ongoing,All,$0-250 , $-   ,$0 ,Low,Post-revenue,"YouTube Live, Zoom free pre-revenue."
Team & Contractors,Support Agent (0.5 FTE),TBD,Variable,Ongoing,10K+ users, $-   , $-   ,$0 ,Low,10K users,"Estimated $15,000-25,000/yr when triggered."
Team & Contractors,Part-time Developer,TBD,Variable,Ongoing,25K+ users, $-   , $-   ,$0 ,Low,25K users,"Estimated $5,000-15,000/yr when triggered."
Team & Contractors,Part-time Designer,TBD,Variable,Ongoing,All, $-   , $-   ,$0 ,Low,As needed,"Estimated $2,000-5,000/yr when triggered."
Team & Contractors,Part-time Product Manager,TBD,Variable,Ongoing,50K+ users, $-   , $-   ,$0 ,Low,50K users,"Estimated $15,000-25,000/yr when triggered."
